類型,代碼,學校名稱,公/私立,縣市名稱,郵遞區號,地址,電話,網址
學校,333505,市立金華國中,公立,[33]臺北市,106,臺北市大安區福住里新生南路二段32號,(02)33931799,http://www.chwjh.tp.edu.tw
學校,333506,市立懷生國中,公立,[33]臺北市,106,臺北市大安區忠孝東路三段248巷30號,(02)27215078,http://www.hsjh.tp.edu.tw
學校,333507,市立民族國中,公立,[33]臺北市,106,臺北市大安區羅斯福路四段113巷13號,(02)27322935,http://www.mtjh.tp.edu.tw
遊樂園,333508,市立龍門國中,公立,[33]臺北市,106,臺北市大安區建國南路二段269號,(02)27330299,http://www.lmjh.tp.edu.tw
遊樂園,343502,市立長安國中,公立,[34]臺北市,104,臺北市中山區興亞里松江路70巷11號,(02)25112382,http://www.cajh.tp.edu.tw
遊樂園,343504,市立北安國中,公立,[34]臺北市,104,臺北市中山區劍潭里明水路325號,(02)25333888,http://www.pajh.tp.edu.tw
站台01,343505,市立新興國中,公立,[34]臺北市,104,臺北市中山區聚葉里林森北路511號,(02)25714211,http://www.hhjh.tp.edu.tw/
站台01,343506,市立五常國中,公立,[34]臺北市,104,臺北市中山區下埤里復興北路430巷1號,(02)25014320,http://www.wcjhs.tp.edu.tw
站台02,343507,市立濱江國中,公立,[34]臺北市,104,臺北市中山區樂群二路262號,(02)85020126,http://www.bjjh.tp.edu.tw
站台02,353501,市立螢橋國中,公立,[35]臺北市,100,臺北市中正區林興里汀州路三段4號,(02)23688667,http://www.ycjh.tp.edu.tw
站台02,353502,市立古亭國中,公立,[35]臺北市,100,臺北市中正區中華路二段465號,(02)23090986,http://www.ktjh.tp.edu.tw
社大,353503,市立南門國中,公立,[35]臺北市,100,臺北市中正區南門里廣州街6號,(02)23142775,http://www.nmjh.tp.edu.tw
社大,353504,市立弘道國中,公立,[35]臺北市,100,臺北市中正區公園路21號,(02)23715520,http://www.htjh.tp.edu.tw
社大,353505,市立中正國中,公立,[35]臺北市,100,臺北市中正區新營里愛國東路158號,(02)23916697,http://www.ccjhs.tp.edu.tw
社大,363501,市立建成國中,公立,[36]臺北市,103,臺北市大同區長安西路37之1號,(02)25587042,http://www.jcjh.tp.edu.tw
社大,363502,市立忠孝國中,公立,[36]臺北市,103,臺北市大同區玉泉里西寧北路32號,(02)25524890,http://www.chjh.tp.edu.tw
學校,363504,市立民權國中,公立,[36]臺北市,103,臺北市大同區重慶北路三段1號,(02)25931951,http://www.mqjh.tp.edu.tw
學校,363506,市立蘭州國中,公立,[36]臺北市,103,臺北市大同區至聖里大龍街187巷1號,(02)25918269,http://www.lcjh.tp.edu.tw
學校,363507,市立重慶國中,公立,[36]臺北市,103,臺北市大同區重慶里敦煌路19號,(02)25948631,http://www.cchs.tp.edu.tw
學校,373501,市立萬華國中,公立,[37]臺北市,108,臺北市萬華區日善里西藏路201號,(02)23394567,http://www.whjhs.tp.edu.tw
遊樂園,373503,市立雙園國中,公立,[37]臺北市,108,臺北市萬華區和德里興義街2號,(02)23030827,http://www.syjhs.tp.edu.tw
遊樂園,373505,市立龍山國中,公立,[37]臺北市,108,臺北市萬華區富裕里南寧路46號,(02)23362789,http://www.lsjh.tp.edu.tw
遊樂園,381501,私立靜心國中,私立,[38]臺北市,116,臺北市文山區興福里興隆路二段46號,(02)29323118,http://www.chjhs.tp.edu.tw
站台01,383501,市立木柵國中,公立,[38]臺北市,116,臺北市文山區木柵路三段102巷12號,(02)29393031,http://www.mcjhs.tp.edu.tw
站台01,383502,市立實踐國中,公立,[38]臺北市,116,臺北市文山區樟林里辛亥路七段67號,(02)22362852,http://www.sjjh.tp.edu.tw
站台02,383503,市立北政國中,公立,[38]臺北市,116,臺北市文山區指南里指南路三段2巷14號,(02)29393651,http://www.pcjh.tp.edu.tw
站台02,383504,市立景美國中,公立,[38]臺北市,116,臺北市文山區景華里景中街27號,(02)89353130,http://www.cmjh.tp.edu.tw
站台02,383505,市立興福國中,公立,[38]臺北市,116,臺北市文山區興旺里福興路80號,(02)29322024,http://www.hfjh.tp.edu.tw
社大,383507,市立景興國中,公立,[38]臺北市,116,臺北市文山區景華里景興路46巷2號,(02)29323794,http://www.chhs.tp.edu.tw
社大,393501,市立誠正國中,公立,[39]臺北市,115,臺北市南港區新富里富康街1巷24號,(02)27828094,http://163.21.132.5
社大,393503,市立成德國中,公立,[39]臺北市,115,臺北市南港區成福里東新街108巷23號,(02)26515635,http://www.cdjh.tp.edu.tw
社大,403501,市立內湖國中,公立,[40]臺北市,114,臺北市內湖區紫陽里陽光街1號,(02)27900843,http://www.nhjh.tp.edu.tw
社大,403502,市立麗山國中,公立,[40]臺北市,114,臺北市內湖區內湖路一段629巷42號,(02)27991867,http://www.lsjhs.tp.edu.tw
學校,403503,市立三民國中,公立,[40]臺北市,114,臺北市內湖區湖興里民權東路6段45號,(02)27924772,http://www.smjh.tp.edu.tw
學校,403504,市立西湖國中,公立,[40]臺北市,114,臺北市內湖區西湖里環山路一段27號,(02)27991817,http://www.xhjhs.tp.edu.tw
學校,403505,市立東湖國中,公立,[40]臺北市,114,臺北市內湖區樂康里康樂街131號,(02)26330373,http://www.dhjh.tp.edu.tw
學校,403506,市立明湖國中,公立,[40]臺北市,114,臺北市內湖區葫洲里康寧路三段60號,(02)26320616,http://www.mhjh.tp.edu.tw
遊樂園,413501,市立士林國中,公立,[41]臺北市,111,臺北市士林區福德里中正路345號,(02)88613411,http://www.sljh.tp.edu.tw
遊樂園,413502,市立蘭雅國中,公立,[41]臺北市,111,臺北市士林區三玉里忠誠路二段51號,(02)28329377,http://163.21.26.20/enable01/
遊樂園,413504,市立至善國中,公立,[41]臺北市,111,臺北市士林區臨溪里至善路二段360號,(02)28411350,http://www.jsjh.tp.edu.tw
站台01,413505,市立格致國中,公立,[41]臺北市,111,臺北市士林區陽明里仰德大道四段75號,(02)28610079,http://www.gjjh.tp.edu.tw
站台01,413506,市立福安國中,公立,[41]臺北市,111,臺北市士林區福安里延平北路七段250號,(02)28108766,http://www.fajh.tp.edu.tw
站台02,413508,市立天母國中,公立,[41]臺北市,111,臺北市士林區天和里天母東路120號,(02)28754864,http://www.tmjh.tp.edu.tw
站台02,423501,市立北投國中,公立,[42]臺北市,112,臺北市北投區溫泉里溫泉路62號,(02)28912091,http://www.ptjh.tp.edu.tw
站台02,423502,市立新民國中,公立,[42]臺北市,112,臺北市北投區林泉里新民路10號,(02)28979001,http://www.hmjh.tp.edu.tw
社大,423503,市立明德國中,公立,[42]臺北市,112,臺北市北投區建民里明德路50號,(02)28232539,http://www.mdjh.tp.edu.tw
社大,423504,市立桃源國中,公立,[42]臺北市,112,臺北市北投區一德里中央北路四段48號,(02)28929633,http://www.tyjh.tp.edu.tw
社大,423505,市立石牌國中,公立,[42]臺北市,112,臺北市北投區吉利里石牌路一段139號,(02)28224682,http://www.spjh.tp.edu.tw
社大,423506,市立關渡國中,公立,[42]臺北市,112,臺北市北投區關渡里知行路212號,(02)28581770,http://www.ktjhs.tp.edu.tw
社大,31502,私立有得國中(小),私立,[03]桃園市,320,桃園市中壢區長春一路288號,(03)4522789,https://www.yoderedu.org/
學校,31503,私立康萊爾國中(小),私立,[03]桃園市,330,桃園市桃園區力行路288巷8號,(03)3026889,http://www.cornell.tyc.edu.tw/
學校,34501,市立桃園國中,公立,[03]桃園市,330,桃園市桃園區莒光街2號,(03)3358282,http://www.tyjh.tyc.edu.tw
學校,34502,市立青溪國中,公立,[03]桃園市,330,桃園市桃園區中山東路124號,(03)3392400,http://www.chjh.tyc.edu.tw
學校,34503,市立文昌國中,公立,[03]桃園市,330,桃園市桃園區民生路729號,(03)3552776,http://www.wcjhs.tyc.edu.tw/
遊樂園,34504,市立建國國中,公立,[03]桃園市,330,桃園市桃園區介新街20號,(03)3630081,http://www.ckjhs.tyc.edu.tw
遊樂園,34505,市立中興國中,公立,[03]桃園市,330,桃園市桃園區文中路122號,(03)3601392,http://www.chjhs.tyc.edu.tw
遊樂園,34506,市立南崁國中,公立,[03]桃園市,338,桃園市蘆竹區五福六路1號,(03)3525590,http://www.nkjh.tyc.edu.tw
站台01,34507,市立山腳國中,公立,[03]桃園市,338,桃園市蘆竹區海山路319號,(03)3241995,http://www.sjjh.tyc.edu.tw
站台01,34508,市立大竹國中,公立,[03]桃園市,338,桃園市蘆竹區大竹里四鄰國中巷35號,(03)3232764,http://www.dcjh.tyc.edu.tw
站台02,34509,市立大園國中,公立,[03]桃園市,337,桃園市大園區園科路400號,(03)3862029,http://163.30.71.1
站台02,34510,市立竹圍國中,公立,[03]桃園市,337,桃園市大園區海港路2巷87號,(03)3835026,http://www.cwjh.tyc.edu.tw
站台02,34511,市立大溪國中,公立,[03]桃園市,335,桃園市大溪區民權東路210號,(03)3882024,http://www.dsjh.tyc.edu.tw
社大,34513,市立仁和國中,公立,[03]桃園市,335,桃園市大溪區仁和里仁和七街55號,(03)3906626,http://www.jhjhs.tyc.edu.tw
社大,34515,市立大崗國中,公立,[03]桃園市,333,桃園市龜山區文化里文化二路168號,(03)3280888,http://www.dgjh.tyc.edu.tw
社大,34516,市立八德國中,公立,[03]桃園市,334,桃園市八德區興豐路321號,(03)3685322,http://www.ptjh.tyc.edu.tw
社大,34517,市立大成國中,公立,[03]桃園市,334,桃園市八德區大勇里忠勇街12號,(03)3625633,http://www.tcjhs.tyc.edu.tw
社大,34518,市立中壢國中,公立,[03]桃園市,324,桃園市平鎮區延平路一段115號,(03)4223214,http://www.cljhs.tyc.edu.tw
學校,34520,市立平南國中,公立,[03]桃園市,324,桃園市平鎮區中豐路南勢二段340號,(03)4392164,http://www.pnjh.tyc.edu.tw/
學校,34521,市立新明國中,公立,[03]桃園市,320,桃園市中壢區中正路487巷18號,(03)4936194,http://www.hmjh.tyc.edu.tw
學校,34522,市立內壢國中,公立,[03]桃園市,320,桃園市中壢區復華里復華一街108號,(03)4522494,http://www.nljh.tyc.edu.tw
學校,34523,市立大崙國中,公立,[03]桃園市,320,桃園市中壢區月眉路一段50號,(03)4982840,http://www.dljh.tyc.edu.tw
遊樂園,34524,市立龍岡國中,公立,[03]桃園市,320,桃園市中壢區龍東路147號,(03)4562137,http://www.lkjh.tyc.edu.tw
遊樂園,34525,市立興南國中,公立,[03]桃園市,320,桃園市中壢區育英路55號,(03)4629991,http://www.hnjh.tyc.edu.tw/
遊樂園,34526,市立自強國中,公立,[03]桃園市,320,桃園市中壢區榮民路80號,(03)4553494,http://www.tcjh.tyc.edu.tw
站台01,34527,市立東興國中,公立,[03]桃園市,320,桃園市中壢區廣州路25號,(03)34583500,http://www.dsjhs.tyc.edu.tw
站台01,34528,市立楊梅國中,公立,[03]桃園市,326,桃園市楊梅區校前路149號,(03)4782024,http://www.ymjhs.tyc.edu.tw
站台02,34529,市立仁美國中,公立,[03]桃園市,326,桃園市楊梅區高榮里梅獅路539巷1號,(03)4641123,http://www.zmjhs.tyc.edu.tw
站台02,34530,市立富岡國中,公立,[03]桃園市,326,桃園市楊梅區豐野里中正路456號,(03)4721113,http://www.fkjh.tyc.edu.tw
站台02,34531,市立瑞原國中,公立,[03]桃園市,326,桃園市楊梅區民豐路69號,(03)4782242#11,http://www.ryjh.tyc.edu.tw
社大,34533,市立觀音國中,公立,[03]桃園市,328,桃園市觀音區白玉里下庄子53之1號,(03)4732034,http://www.gijh.tyc.edu.tw
社大,34534,市立草漯國中,公立,[03]桃園市,328,桃園市觀音區草漯里28鄰四維路73號,(03)4830146#71,http://www.ttjh.tyc.edu.tw
社大,34536,市立大坡國中,公立,[03]桃園市,327,桃園市新屋區民有二路二段100號,(03)4768350,http://www.dpjhs.tyc.edu.tw
社大,34537,市立永安國中,公立,[03]桃園市,327,桃園市新屋區中山西路三段96號,(03)4862507,http://www.yajh.tyc.edu.tw
社大,34538,市立龍潭國中,公立,[03]桃園市,325,桃園市龍潭區中正里龍華路460號,(03)4792075,http://www.ltjhs.tyc.edu.tw
學校,34539,市立凌雲國中,公立,[03]桃園市,325,桃園市龍潭區中豐路上林段418號,(03)4792604,http://www.lyjh.tyc.edu.tw
學校,34540,市立石門國中,公立,[03]桃園市,325,桃園市龍潭區佳安里文化路137號,(03)4713610,http://www.smjh.tyc.edu.tw
學校,34541,市立介壽國中,公立,[03]桃園市,336,桃園市復興區澤仁里中正路248號,(03)3822315,http://www.jsjh.tyc.edu.tw
學校,34542,市立慈文國中,公立,[03]桃園市,330,桃園市桃園區中正路835號,(03)3269340,http://www.twjh.tyc.edu.tw
遊樂園,34543,市立平興國中,公立,[03]桃園市,324,桃園市平鎮區環南路300號,(03)4918239,http://www.psjh.tyc.edu.tw
遊樂園,34544,市立楊明國中,公立,[03]桃園市,326,桃園市楊梅區新農街337號,(03)4781525,http://www.ymjh.tyc.edu.tw
遊樂園,34545,市立龍興國中,公立,[03]桃園市,320,桃園市中壢區龍勇路100號,(03)4575200,http://www.lsjh.tyc.edu.tw
站台01,34546,市立福豐國中,公立,[03]桃園市,330,桃園市桃園區延平路326號,(03)3669547,http://www.ffjh.tyc.edu.tw
站台01,34549,市立東安國中,公立,[03]桃園市,324,桃園市平鎮區平東路168號,(03)4601407,http://www.tajh.tyc.edu.tw
站台02,34550,市立光明國中,公立,[03]桃園市,338,桃園市蘆竹區光明路一段123號,(03)3114355,http://www.gmjh.tyc.edu.tw
站台02,34551,市立同德國中,公立,[03]桃園市,330,桃園市桃園區南平路487號,(03)2628955,http://www.tdjhs.tyc.edu.tw
站台02,34552,市立幸福國中,公立,[03]桃園市,333,桃園市龜山區中興路100巷20號,(03)3298992,http://www.hfjh.tyc.edu.tw
社大,34554,市立大有國中,公立,[03]桃園市,330,桃園市桃園區大有路215號,(03)2613298,http://www.dyjhs.tyc.edu.tw
社大,34555,市立龜山國中,公立,[03]桃園市,333,桃園市龜山區自強西路66號,(03)3205681,http://www.gsjh.tyc.edu.tw
社大,34556,市立會稽國中,公立,[03]桃園市,330,桃園市桃園區大興路222號,(03)3551496,http://www.kjjhs.tyc.edu.tw
社大,34557,市立楊光國中(小),公立,[03]桃園市,326,桃園市楊梅區瑞溪路1一段88號,(03)4827987,http://www.ygjps.tyc.edu.tw
社大,34559,市立迴龍國中(小),公立,[03]桃園市,333,桃園市龜山區萬壽路一段168號,(02)82096088,http://www.hles.tyc.edu.tw
學校,34560,市立平鎮國中,公立,[03]桃園市,324,桃園市平鎮區新富里振興路2號,(03)4572150,http://163.30.122.141/homepjjh/modules/tadnews/#A
學校,34561,市立武漢國中,公立,[03]桃園市,325,桃園市龍潭區武中路227號,(03)4092810,http://www.whjhs.tyc.edu.tw
學校,34562,市立經國國中,公立,[03]桃園市,330,桃園市桃園區經國路276號,(03)3572699,http://www.jgjhs.tyc.edu.tw/web/
學校,34563,市立過嶺國中,公立,[03]桃園市,320,桃園市中壢區松智路2號,(03)4200026,http://www.gljh.tyc.edu.tw
遊樂園,34564,市立瑞坪國中,公立,[03]桃園市,326,桃園市楊梅區瑞坪里14鄰文化街535號,(03)4821468,http://www.rpjhs.tyc.edu.tw
遊樂園,34565,市立青埔國中,公立,[03]桃園市,320,桃園市中壢區領航北路二段281號,(03)2871886,http://www.qpjh.tyc.edu.tw
遊樂園,63501,市立善水國中(小),公立,[06]臺中市,435,臺中市梧棲區梧南路50號,(04)26396160,https://sites.google.com/tc.edu.tw/ssjhs/%E9%A6%96%E9%A0%81
站台01,64501,市立豐原國中,公立,[06]臺中市,420,臺中市豐原區三豐路一段321號,(04)25251200,http://www.fyjh.tc.edu.tw
站台01,64502,市立豐東國中,公立,[06]臺中市,420,臺中市豐原區豐東路75號,(04)25221743,http://www.ftjh.tc.edu.tw
站台02,64503,市立豐南國中,公立,[06]臺中市,420,臺中市豐原區豐南街151號,(04)25280185,http://www.fnjh.tc.edu.tw
站台02,64504,市立潭子國中,公立,[06]臺中市,427,臺中市潭子區潭興路二段419巷1號,(04)25376192,http://www.ttjhs.tc.edu.tw
站台02,64505,市立大雅國中,公立,[06]臺中市,428,臺中市大雅區學府路280號,(04)25672171,http://www.tyjh.tc.edu.tw
社大,64506,市立神岡國中,公立,[06]臺中市,429,臺中市神岡區社南里中山路627號,(04)25623421,http://www.skjhs.tc.edu.tw
社大,64507,市立后里國中,公立,[06]臺中市,421,臺中市后里區眉山里第三鄰中眉路169號,(04)25562409,http://www.hljh.tc.edu.tw
社大,64509,市立外埔國中,公立,[06]臺中市,438,臺中市外埔區大同里外埔路999號,(04)26833721,http://www.wpjh.tc.edu.tw
社大,64510,市立大甲國中,公立,[06]臺中市,437,臺中市大甲區育英路186號,(04)26872564,http://www.tjjh.tc.edu.tw
社大,64511,市立日南國中,公立,[06]臺中市,437,臺中市大甲區中山路二段69之11號,(04)26813721,http://www.jnjh.tc.edu.tw
學校,64512,市立大安國中,公立,[06]臺中市,439,臺中市大安區松雅里大安港路691號,(04)26872571,http://www.tajh.tc.edu.tw
學校,64513,市立清水國中,公立,[06]臺中市,436,臺中市清水區鰲峰路250號,(04)26262042,http://www.csjh.tc.edu.tw
學校,64514,市立清泉國中,公立,[06]臺中市,436,臺中市清水區菁埔里臨海路27之2號,(04)26113134,http://www.ccjh.tc.edu.tw
學校,64515,市立沙鹿國中,公立,[06]臺中市,433,臺中市沙鹿區中正街1號,(04)26622163,http://www.sljh.tc.edu.tw
遊樂園,64516,市立梧棲國中,公立,[06]臺中市,435,臺中市梧棲區文化里民生街12號,(04)26562850,http://www.wcjs.tc.edu.tw
遊樂園,64517,市立龍井國中,公立,[06]臺中市,434,臺中市龍井區觀光路9號,(04)26353344,http://www.lcjh.tc.edu.tw
